Customer_i_Unique_ID,Customer_i_ID,Customer_i_Star_Rating,Customer_i_Comment,Customer_i_buying_influence,Customer_i_Date,product,category,price_dollars,star_ratings,total_ratings
B0C7PN2L5V-R2OL0YMUMKO1TK,R2OL0YMUMKO1TK,3.0,Typical game,0.0,2023-10-25,Starfield: Standard Edition - Xbox Series X,video_games,64.0,4.2,242
B0BRXPG779-Unavailable,Unavailable,,Unavailable,,1677-09-21,"veoyya Video Game Console TV Game Console, Built in 883+ Plug and Play Video Games for TV, Dual 2.4G Wireless Handheld Somatosensory Controller,4K HDMI Output, Ideal Gift for Kids & Adults(Red-Blue)",video_games,42.99,4.0,2
B0CCYJR5V8-R26FR2Y6QNHJR6,R26FR2Y6QNHJR6,5.0,Some games dont work but its really cool and has a very large library of games.,0.0,2023-10-23,"Retro Game Console 5TB HDD with built in 60,649 Games, Emulator Console Game Drive Preloaded with Playnite, Launchbox, Retrobat 3 Game System, Video Game Console Hard Drive Plug and Play",video_games,229.99,4.4,6
B0CK4Y8YLG-Unavailable,Unavailable,,Unavailable,,1677-09-21,Star Wars: Heritage Pack - Nintendo Switch,video_games,59.99,0.0,0
B0C9NK7ZZB-Unavailable,Unavailable,,Unavailable,,1677-09-21,The Grinch: Christmas Adventures - Xbox Series X,video_games,29.99,4.5,2
B0CFQWDMZ7-Unavailable,Unavailable,,Unavailable,,1677-09-21,Tough Cubic Classic Retro Game System AV TV Plug and Play Preloaded 620 Classic Retro Games 2 Classic Gamepads for NES Retro Gamers…,video_games,19.99,0.0,0
B0975M9XR3-R3K9FQ944QF7DG,R3K9FQ944QF7DG,1.0,Cheap Equipment,1.0,2023-08-07,"Super Classic Retro Game Console,HDMI Video Game System Built in 5000 Classic Games,Dual Game Controllers Wireless and Plug and Play.",video_games,65.0,3.5,190
B0BWJQG9LS-R3KF6YL6FFQLK7,R3KF6YL6FFQLK7,1.0,Do not recommend,1.0,2023-10-01,"JMachen Retro Game Console Built in 45000+ Games, Plug and Play Video HDMI, Android 9.0 + EmuELEC 4.5 System, Emulator Compatible with 70+ Emulators, S905X3 Chip, 4K Output (JM6)",video_games,124.99,3.4,11
B0BBWMHT83-Unavailable,Unavailable,,Unavailable,,1677-09-21,Hogwarts Legacy Deluxe Edition - Nintendo Switch,video_games,69.99,0.0,0
B0CHD24RB4-Unavailable,Unavailable,,Unavailable,,1677-09-21,Eternights PS4,video_games,29.99,0.0,0
B0CJ3GM2MQ-Unavailable,Unavailable,,Unavailable,,1677-09-21,Bluey: The Videogame- Playstation 5,video_games,39.99,0.0,0
B0CF9P6JFP-Unavailable,Unavailable,,Unavailable,,1677-09-21,"5T Retro Game Console HDD with 60649 Video Games, 80+ Emulator Console Built-in Game Hard Drive, 58 AAA PC Games, Retrobat, Launchbox, Playnite 3 Game System, Plug and Play for Win 8.1/10/11, 2 Vibrate Controllers",video_games,259.99,0.0,0
B0CGHXD177-R18VJP73A9R7PF,R18VJP73A9R7PF,3.0,Not the real deal,1.0,2023-10-23,"Plug & Play Classic Handheld Game Console, Upgrade Packaging Classic Game Console Built-in 620 Game, Video Game Player Console for Family TV Wired-Blue",video_games,39.99,2.9,5
B0BRQ9CM25-RZMJ1U0G5JQ4C,RZMJ1U0G5JQ4C,4.0,Works really well in Android mode,0.0,2023-10-24,"Retro Game Console with Built in 48000+ Games, 4K UHD Video Game Console for TV, Emulator Console Support 70+ Emulators, Game System with Wireless Controller, S905X4 Chip, 2.4G+5G WIFI, Gift for Men",video_games,129.99,3.2,26
B0975P2RBR-R3R7ZNQJE16GVR,R3R7ZNQJE16GVR,1.0,Terrible controls,0.0,2023-10-18,"Retro Game Console, Mini Classic Game System with 2 Classic Wireless Controllers and Built-in 620 Games, RCA Output Plug & Play Childhood Mini Classic Console, Birthday Gifts.",video_games,42.99,3.7,441
B0CH3RNV7L-Unavailable,Unavailable,,Unavailable,,1677-09-21,Barbie Dreamhouse Adventures - Nintendo Switch,video_games,39.99,0.0,0
